date,USD_per_XMR
2018-04-17,195
2018-04-18,229
2018-04-19,237
2018-04-20,268
2018-04-21,255
2018-04-22,269
2018-04-23,282
2018-04-24,294
2018-04-25,256
2018-04-26,268
2018-04-27,251
2018-04-28,261
2018-04-29,255
2018-04-30,241
2018-05-01,239
2018-05-02,249
2018-05-03,245
2018-05-04,242
2018-05-05,241
2018-05-06,235
2018-05-07,233
2018-05-08,223
2018-05-09,226
2018-05-10,218
2018-05-11,198
2018-05-12,202
2018-05-13,209
2018-05-14,212
2018-05-15,203
2018-05-16,199
2018-05-17,191
2018-05-18,205
2018-05-19,198
2018-05-20,204
2018-05-21,198
2018-05-22,176
2018-05-23,170
2018-05-24,172
2018-05-25,164
2018-05-26,164
2018-05-27,165
2018-05-28,150
2018-05-29,157
2018-05-30,154
2018-05-31,156
2018-06-01,158
2018-06-02,162
2018-06-03,169
2018-06-04,160
2018-06-05,167
2018-06-06,164
2018-06-07,163
2018-06-08,158
2018-06-09,156
2018-06-10,138
2018-06-11,137
2018-06-12,125
2018-06-13,121
2018-06-14,131
2018-06-15,123
2018-06-16,127
2018-06-17,123
2018-06-18,127
2018-06-19,126
2018-06-20,123
2018-06-21,123
2018-06-22,111
2018-06-23,115
2018-06-24,121
2018-06-25,127
2018-06-26,121
2018-06-27,129
2018-06-28,117
2018-06-29,127
2018-06-30,130
2018-07-01,129
2018-07-02,140
2018-07-03,138
2018-07-04,138
2018-07-05,138
2018-07-06,132
2018-07-07,134
2018-07-08,137
2018-07-09,135
2018-07-10,121
2018-07-11,125
2018-07-12,119
2018-07-13,122
2018-07-14,123
2018-07-15,124
2018-07-16,134
2018-07-17,144
2018-07-18,139
2018-07-19,140
2018-07-20,130
2018-07-21,132
2018-07-22,128
2018-07-23,134
2018-07-24,148
2018-07-25,143
2018-07-26,136
2018-07-27,141
2018-07-28,139
2018-07-29,135
2018-07-30,132
2018-07-31,122
2018-08-01,128
2018-08-02,122
2018-08-03,120
2018-08-04,114
2018-08-05,117
2018-08-06,114
2018-08-07,108
2018-08-08,94
2018-08-09,101
2018-08-10,91
2018-08-11,94
2018-08-12,93
2018-08-13,88
2018-08-14,84
2018-08-15,89
2018-08-16,91
2018-08-17,99
2018-08-18,98
2018-08-19,98
2018-08-20,94
2018-08-21,95
2018-08-22,90
2018-08-23,90
2018-08-24,94
2018-08-25,92
2018-08-26,94
2018-08-27,104
2018-08-28,108
2018-08-29,103
2018-08-30,103
2018-08-31,116
2018-09-01,122
2018-09-02,122
2018-09-03,135
2018-09-04,138
2018-09-05,117
2018-09-06,117
2018-09-07,112
2018-09-08,104
2018-09-09,105
2018-09-10,105
2018-09-11,105
2018-09-12,104
2018-09-13,112
2018-09-14,116
2018-09-15,119
2018-09-16,117
2018-09-17,107
2018-09-18,112
2018-09-19,109
2018-09-20,116
2018-09-21,124
2018-09-22,122
2018-09-23,123
2018-09-24,115
2018-09-25,116
2018-09-26,115
2018-09-27,119
2018-09-28,116
2018-09-29,114
2018-09-30,115
2018-10-01,114
2018-10-02,117
2018-10-03,114
2018-10-04,114
2018-10-05,114
2018-10-06,114
2018-10-07,113
2018-10-08,113
2018-10-09,113
2018-10-10,113
2018-10-11,100
2018-10-12,100
2018-10-13,101
2018-10-14,99
2018-10-15,105
2018-10-16,106
2018-10-17,105
2018-10-18,102
2018-10-19,103
2018-10-20,103
2018-10-21,104
2018-10-22,105
2018-10-23,108
2018-10-24,106
2018-10-25,105
2018-10-26,104
2018-10-27,103
2018-10-28,104
2018-10-29,100
2018-10-30,102
2018-10-31,104
2018-11-01,104
2018-11-02,105
2018-11-03,106
2018-11-04,112
2018-11-05,111
2018-11-06,113
2018-11-07,111
2018-11-08,108
2018-11-09,106
2018-11-10,104
2018-11-11,105
2018-11-12,104
2018-11-13,103
2018-11-14,88
2018-11-15,87
2018-11-16,86
2018-11-17,87
2018-11-18,88
2018-11-19,72
2018-11-20,64
2018-11-21,68
2018-11-22,65
2018-11-23,66
2018-11-24,58
2018-11-25,57
2018-11-26,52
2018-11-27,57
2018-11-28,63
2018-11-29,60
2018-11-30,57
2018-12-01,59
2018-12-02,59
2018-12-03,54
2018-12-04,56
2018-12-05,51
2018-12-06,46
2018-12-07,46
2018-12-08,45
2018-12-09,47
2018-12-10,43
2018-12-11,42
2018-12-12,43
2018-12-13,40
2018-12-14,38
2018-12-15,38
2018-12-16,38
2018-12-17,43
2018-12-18,46
2018-12-19,46
2018-12-20,54
2018-12-21,51
2018-12-22,51
2018-12-23,52
2018-12-24,56
2018-12-25,50
2018-12-26,49
2018-12-27,43
2018-12-28,49
2018-12-29,48
2018-12-30,48
2018-12-31,45
2019-01-01,48
2019-01-02,52
2019-01-03,49
2019-01-04,50
2019-01-05,49
2019-01-06,55
2019-01-07,53
2019-01-08,53
2019-01-09,52
2019-01-10,45
2019-01-11,45
2019-01-12,45
2019-01-13,43
2019-01-14,45
2019-01-15,44
2019-01-16,46
2019-01-17,45
2019-01-18,45
2019-01-19,46
2019-01-20,43
2019-01-21,44
2019-01-22,46
2019-01-23,45
2019-01-24,46
2019-01-25,46
2019-01-26,45
2019-01-27,46
2019-01-28,43
2019-01-29,43
2019-01-30,44
2019-01-31,43
2019-02-01,43
2019-02-02,43
2019-02-03,42
2019-02-04,42
2019-02-05,43
2019-02-06,43
2019-02-07,43
2019-02-08,47
2019-02-09,48
2019-02-10,49
2019-02-11,47
2019-02-12,48
2019-02-13,48
2019-02-14,46
2019-02-15,47
2019-02-16,46
2019-02-17,47
2019-02-18,51
2019-02-19,52
2019-02-20,51
2019-02-21,49
2019-02-22,51
2019-02-23,53
2019-02-24,48
2019-02-25,48
2019-02-26,48
2019-02-27,48
2019-02-28,48
2019-03-01,48
2019-03-02,48
2019-03-03,48
2019-03-04,47
2019-03-05,49
2019-03-06,49
2019-03-07,50
2019-03-08,48
2019-03-09,49
2019-03-10,49
2019-03-11,49
2019-03-12,50
2019-03-13,50
2019-03-14,51
2019-03-15,52
2019-03-16,53
2019-03-17,52
2019-03-18,52
2019-03-19,53
2019-03-20,54
2019-03-21,52
2019-03-22,53
2019-03-23,52
2019-03-24,52
2019-03-25,51
2019-03-26,52
2019-03-27,53
2019-03-28,53
2019-03-29,53
2019-03-30,53
2019-03-31,56
2019-04-01,60
2019-04-02,70
2019-04-03,66
2019-04-04,64
2019-04-05,69
2019-04-06,68
2019-04-07,70
2019-04-08,71
2019-04-09,68
2019-04-10,71
2019-04-11,66
2019-04-12,66
2019-04-13,65
2019-04-14,67
2019-04-15,64
2019-04-16,69
2019-04-17,67
2019-04-18,69
2019-04-19,69
2019-04-20,70
2019-04-21,69
2019-04-22,69
2019-04-23,69
2019-04-24,68
2019-04-25,61
2019-04-26,61
2019-04-27,62
2019-04-28,60
2019-04-29,61
2019-04-30,62
2019-05-01,65
2019-05-02,64
2019-05-03,66
2019-05-04,68
2019-05-05,66
2019-05-06,67
2019-05-07,66
2019-05-08,67
2019-05-09,65
2019-05-10,69
2019-05-11,81
2019-05-12,75
2019-05-13,79
2019-05-14,83
2019-05-15,95
2019-05-16,87
2019-05-17,82
2019-05-18,80
2019-05-19,91
2019-05-20,88
2019-05-21,89
2019-05-22,84
2019-05-23,85
2019-05-24,86
2019-05-25,87
2019-05-26,93
2019-05-27,98
2019-05-28,96
2019-05-29,94
2019-05-30,92
2019-05-31,93
2019-06-01,93
2019-06-02,95
2019-06-03,89
2019-06-04,83
2019-06-05,85
2019-06-06,86
2019-06-07,88
2019-06-08,88
2019-06-09,83
2019-06-10,87
2019-06-11,87
2019-06-12,90
2019-06-13,90
2019-06-14,91
2019-06-15,95
2019-06-16,96
2019-06-17,99
2019-06-18,96
2019-06-19,100
2019-06-20,105
2019-06-21,109
2019-06-22,114
2019-06-23,115
2019-06-24,117
2019-06-25,112
2019-06-26,103
2019-06-27,94
2019-06-28,101
2019-06-29,100
2019-06-30,88
2019-07-01,89
2019-07-02,86
2019-07-03,90
2019-07-04,88
2019-07-05,90
2019-07-06,94
2019-07-07,107
2019-07-08,102
2019-07-09,100
2019-07-10,95
2019-07-11,89
2019-07-12,98
2019-07-13,93
2019-07-14,87
2019-07-15,90
2019-07-16,74
2019-07-17,77
2019-07-18,85
2019-07-19,82
2019-07-20,86
2019-07-21,84
2019-07-22,83
2019-07-23,81
2019-07-24,81
2019-07-25,81
2019-07-26,80
2019-07-27,79
2019-07-28,80
2019-07-29,78
2019-07-30,78
2019-07-31,80
2019-08-01,82
2019-08-02,84
2019-08-03,88
2019-08-04,88
2019-08-05,94
2019-08-06,89
2019-08-07,97
2019-08-08,95
2019-08-09,93
2019-08-10,91
2019-08-11,92
2019-08-12,91
2019-08-13,86
2019-08-14,79
2019-08-15,83
2019-08-16,82
2019-08-17,82
2019-08-18,88
2019-08-19,90
2019-08-20,86
2019-08-21,81
2019-08-22,82
2019-08-23,82
2019-08-24,81
2019-08-25,80
2019-08-26,80
2019-08-27,78
2019-08-28,72
2019-08-29,67
2019-08-30,68
2019-08-31,67
2019-09-01,72
2019-09-02,73
2019-09-03,75
2019-09-04,74
2019-09-05,76
2019-09-06,75
2019-09-07,78
2019-09-08,77
2019-09-09,75
2019-09-10,72
2019-09-11,74
2019-09-12,75
2019-09-13,76
2019-09-14,76
2019-09-15,76
2019-09-16,76
2019-09-17,74
2019-09-18,80
2019-09-19,76
2019-09-20,74
2019-09-21,72
2019-09-22,73
2019-09-23,68
2019-09-24,59
2019-09-25,59
2019-09-26,57
2019-09-27,58
2019-09-28,58
2019-09-29,56
2019-09-30,57
2019-10-01,56
2019-10-02,56
2019-10-03,56
2019-10-04,57
2019-10-05,57
2019-10-06,55
2019-10-07,56
2019-10-08,56
2019-10-09,57
2019-10-10,56
2019-10-11,54
2019-10-12,54
2019-10-13,53
2019-10-14,53
2019-10-15,52
2019-10-16,55
2019-10-17,56
2019-10-18,56
2019-10-19,54
2019-10-20,56
2019-10-21,58
2019-10-22,57
2019-10-23,53
2019-10-24,54
2019-10-25,59
2019-10-26,57
2019-10-27,60
2019-10-28,60
2019-10-29,59
2019-10-30,59
2019-10-31,59
2019-11-01,61
2019-11-02,62
2019-11-03,64
2019-11-04,63
2019-11-05,63
2019-11-06,64
2019-11-07,63
2019-11-08,61
2019-11-09,62
2019-11-10,64
2019-11-11,62
2019-11-12,62
2019-11-13,65
2019-11-14,65
2019-11-15,62
2019-11-16,61
2019-11-17,62
2019-11-18,58
2019-11-19,58
2019-11-20,58
2019-11-21,54
2019-11-22,51
2019-11-23,52
2019-11-24,48
2019-11-25,50
2019-11-26,51
2019-11-27,56
2019-11-28,54
2019-11-29,56
2019-11-30,55
2019-12-01,54
2019-12-02,54
2019-12-03,53
2019-12-04,53
2019-12-05,54
2019-12-06,54
2019-12-07,54
2019-12-08,54
2019-12-09,54
2019-12-10,53
2019-12-11,53
2019-12-12,53
2019-12-13,52
2019-12-14,51
2019-12-15,51
2019-12-16,49
2019-12-17,45
2019-12-18,48
2019-12-19,47
2019-12-20,47
2019-12-21,45
2019-12-22,47
2019-12-23,47
2019-12-24,46
2019-12-25,46
2019-12-26,45
2019-12-27,45
2019-12-28,45
2019-12-29,47
2019-12-30,46
2019-12-31,44
2020-01-01,46
2020-01-02,45
2020-01-03,51
2020-01-04,50
2020-01-05,54
2020-01-06,59
2020-01-07,59
2020-01-08,59
2020-01-09,59
2020-01-10,58
2020-01-11,58
2020-01-12,59
2020-01-13,58
2020-01-14,63
2020-01-15,68
2020-01-16,66
2020-01-17,69
2020-01-18,67
2020-01-19,65
2020-01-20,65
2020-01-21,66
2020-01-22,65
2020-01-23,62
2020-01-24,62
2020-01-25,61
2020-01-26,64
2020-01-27,65
2020-01-28,68
2020-01-29,70
2020-01-30,75
2020-01-31,72
2020-02-01,73
2020-02-02,75
2020-02-03,77
2020-02-04,75
2020-02-05,78
2020-02-06,78
2020-02-07,80
2020-02-08,81
2020-02-09,87
2020-02-10,85
2020-02-11,90
2020-02-12,95
2020-02-13,93
2020-02-14,95
2020-02-15,89
2020-02-16,89
2020-02-17,83
2020-02-18,86
2020-02-19,78
2020-02-20,77
2020-02-21,80
2020-02-22,79
2020-02-23,86
2020-02-24,79
2020-02-25,77
2020-02-26,71
2020-02-27,70
2020-02-28,69
2020-02-29,66
2020-03-01,65
2020-03-02,69
2020-03-03,66
2020-03-04,66
2020-03-05,68
2020-03-06,69
2020-03-07,66
2020-03-08,57
2020-03-09,55
2020-03-10,55
2020-03-11,54
2020-03-12,33
2020-03-13,37
2020-03-14,36
2020-03-15,38
2020-03-16,34
2020-03-17,37
2020-03-18,37
2020-03-19,41
2020-03-20,40
2020-03-21,41
2020-03-22,38
2020-03-23,44
2020-03-24,47
2020-03-25,47
2020-03-26,51
2020-03-27,49
2020-03-28,47
2020-03-29,44
2020-03-30,47
2020-03-31,48
2020-04-01,49
2020-04-02,51
2020-04-03,53
2020-04-04,54
2020-04-05,53
2020-04-06,59
2020-04-07,56
2020-04-08,58
2020-04-09,59
2020-04-10,54
2020-04-11,54
2020-04-12,54
2020-04-13,53
2020-04-14,54
2020-04-15,53
